Train Accuracy: 0.73038, Test Accuracy: 0.7351
Train Accuracy: 0.73348, Test Accuracy: 0.7458
Train Accuracy: 0.7173, Test Accuracy: 0.7169
Train Accuracy: 0.7976, Test Accuracy: 0.7932
Train Accuracy: 0.75244, Test Accuracy: 0.755
Train Accuracy: 0.7801400000000001, Test Accuracy: 0.7881
Train Accuracy: 0.7867, Test Accuracy: 0.7866
Train Accuracy: 0.78216, Test Accuracy: 0.7826
Train Accuracy: 0.8192, Test Accuracy: 0.8260000000000001
Train Accuracy: 0.82426, Test Accuracy: 0.8286
Train Accuracy: 0.81378, Test Accuracy: 0.8114
Train Accuracy: 0.80862, Test Accuracy: 0.8135
Train Accuracy: 0.7634799999999999, Test Accuracy: 0.7678
Train Accuracy: 0.81306, Test Accuracy: 0.8186
Train Accuracy: 0.80846, Test Accuracy: 0.8048
Train Accuracy: 0.79436, Test Accuracy: 0.7969999999999999
Train Accuracy: 0.8152, Test Accuracy: 0.8174
Train Accuracy: 0.8158, Test Accuracy: 0.8128
Train Accuracy: 0.8199799999999999, Test Accuracy: 0.8153
Train Accuracy: 0.81032, Test Accuracy: 0.8068
Train Accuracy: 0.79142, Test Accuracy: 0.7938000000000001
Train Accuracy: 0.8368, Test Accuracy: 0.8328
Train Accuracy: 0.82492, Test Accuracy: 0.8295
Train Accuracy: 0.83322, Test Accuracy: 0.8407
Train Accuracy: 0.83038, Test Accuracy: 0.8359
Train Accuracy: 0.84108, Test Accuracy: 0.8397
Train Accuracy: 0.78882, Test Accuracy: 0.8001
Train Accuracy: 0.83092, Test Accuracy: 0.8325
Train Accuracy: 0.81888, Test Accuracy: 0.8198
Train Accuracy: 0.83926, Test Accuracy: 0.84
Train Accuracy: 0.84308, Test Accuracy: 0.8497
Train Accuracy: 0.83826, Test Accuracy: 0.8388
Train Accuracy: 0.83258, Test Accuracy: 0.8329
Train Accuracy: 0.83506, Test Accuracy: 0.844
Train Accuracy: 0.8307, Test Accuracy: 0.8315
Train Accuracy: 0.83168, Test Accuracy: 0.8364
